Scheme Name	Net Asset Value
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.8651
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.0394
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	33.4112
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.0368
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1051.1843
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2475.5568
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1064.3474
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1016.707
Invesco India Banking and PSU Fund - Growth Option	2309.4949
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1067.73
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.6451
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.6467
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.2741
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.2752
Kotak Banking and PSU Debt - Growth	66.7771
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.5459
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	69.6551
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.2643
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.3153
LIC MF Banking & PSU Fund-Direct Plan-Growth	38.38
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.4544
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0553
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.3992
LIC MF Banking & PSU Fund-Regular Plan-Growth	35.5294
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.2973
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3876
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.5182
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.5129
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	13.2035
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13.2046
NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option	22.0040
NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option	10.3806
